Year,   Total,   Car, Minibus,   Bus,  Small truck,  Truck,Motorcycle,vehicles,machinery,Tractor
1989, 3 388 259, 1 434 830,  118 026,  58 859,  248 567,  241 392,  472 853,  25 060,  60 191,  728 481
1990, 3 750 678, 1 649 879,  125 399,  63 700,  263 407,  257 353,  531 941,  26 519,  63 024,  769 456
1991, 4 101 975, 1 864 344,  133 632,  68 973,  280 891,  273 409,  590 488,  28 606,  66 981,  794 651
1992, 4 584 717, 2 181 388,  145 312,  75 592,  308 180,  287 160,  655 347,  31 158,  72 000,  828 580
1993, 5 250 622, 2 619 852,  159 900,  84 254,  354 290,  305 511,  743 320,  33 703,  79 233,  870 559
1994, 5 606 712, 2 861 640,  166 424,  87 545,  374 473,  313 771,  788 786,  35 495,  83 072,  895 506
1995, 5 922 859, 3 058 511,  173 051,  90 197,  397 743,  321 421,  819 922,  37 272,  87 214,  937 528
1996, 6 305 707, 3 274 156,  182 694,  94 978,  442 788,  333 269,  854 150,  40 212,  95 318,  988 142
1997, 6 863 462, 3 570 105,  197 057,  101 896,  529 838,  353 586,  905 121,  45 327,  107 151, 1 053 381
1998, 7 371 541, 3 838 288,  211 495,  108 361,  626 004,  371 163,  940 935,  49 925,  117 913, 1 107 457
1999, 7 758 511, 4 072 326,  221 683,  112 186,  692 935,  378 967,  975 746,  52 105,  120 937, 1 131 626
2000, 8 320 449, 4 422 180,  235 885,  118 454,  794 459,  394 283, 1 011 284,  55 677,  129 157, 1 159 070
2001, 8 521 956, 4 534 803,  239 381,  119 306,  833 175,  396 493, 1 031 221,  57 490,  131 019, 1 179 068
2002, 8 655 170, 4 600 140,  241 700,  120 097,  875 381,  399 025, 1 046 907,  58 790,  133 003, 1 180 127
2003, 8 903 843, 4 700 343,  245 394,  123 500,  973 457,  405 034, 1 073 415,  60 511,  137 933, 1 184 256
2004, 10 236 357, 5 400 440,  318 954,  152 712, 1 259 867,  647 420, 1 218 677,  28 004,- (2), 1 210 283
2005, 11 145 826, 5 772 745,  338 539,  163 390, 1 475 057,  676 929, 1 441 066,  30 333,- (2), 1 247 767
2006, 12 227 393, 6 140 992,  357 523,  175 949, 1 695 624,  709 535, 1 822 831,  34 260,- (2), 1 290 679
2007, 13 022 945, 6 472 156,  372 601,  189 128, 1 890 459,  729 202, 2 003 492,  38 573,- (2), 1 327 334
2008, 13 765 395, 6 796 629,  383 548,  199 934, 2 066 007,  744 217, 2 181 383,  35 100,- (2), 1 358 577
2009, 14 316 700, 7 093 964,  384 053,  201 033, 2 204 951,  727 302, 2 303 261,  34 104,- (2), 1 368 032
2010, 15 095 603, 7 544 871,  386 973,  208 510, 2 399 038,  726 359, 2 389 488,  35 492,- (2), 1 404 872
2011, 16 089 528, 8 113 111,  389 435,  219 906, 2 611 104,  728 458, 2 527 190,  34 116,- (2), 1 466 208
2012, 17 033 413, 8 648 875,  396 119,  235 949, 2 794 606,  751 650, 2 657 722,  33 071,- (2), 1 515 421
2013, 17 939 447, 9 283 923,  421 848,  219 885, 2 933 050,  755 950, 2 722 826,  36 148,- (2), 1 565 817
2014, 18 828 721, 9 857 915,  427 264,  211 200, 3 062 479,  773 728, 2 828 466,  40 731,- (2), 1 626 938
2015, 19 994 472, 10 589 337,  449 213,  217 056, 3 255 299,  804 319, 2 938 364,  45 732,- (2), 1 695 152
2016, 21 090 424, 11 317 998,  463 933,  220 361, 3 442 483,  825 334, 3 003 733,  50 818,- (2), 1 765 764
2017, 22 218 945, 12 035 978,  478 618,  221 885, 3 642 625,  838 718, 3 102 800,  60 099,- (2), 1 838 222
2018, 22 865 921, 12 398 190,  487 527,  218 523, 3 755 580,  845 462, 3 211 328,  63 359,- (2), 1 885 952
2019, 23 156 975, 12 503 049,  493 373,  213 358, 3 796 919,  844 481, 3 331 326,  65 470,- (2), 1 908 999
2020, 24 144 857, 13 099 041,  493 395,  212 407, 3 938 732,  859 670, 3 512 576,  70 309,- (2), 1 958 727
2021, 25 249 119, 13 706 065,  484 806,  208 882, 4 115 205,  886 303, 3 744 370,  78 482,- (2), 2 025 006
2022, 26 349 156,14 213 013, 486 418, 208 547,4 261 740, 916 565,4 092 990, 84 683,- (2),2 085 200
